,STATE,CountyNo,BelowUni,AboveUni
43,CA,85,25.265400886535645,74.73459815979004
44,WA,33,21.425288200378418,78.57471084594727
45,OR,3,17.57146453857422,82.42853546142578
46,TX,85,20.572030067443848,79.42796897888184
47,NY,109,24.016266345977783,75.98373413085938
48,VT,7,23.702171802520752,76.2978286743164
49,WI,25,21.08380126953125,78.91620063781738
50,CA,81,24.454103469848633,75.54589462280273
51,IA,169,20.26217269897461,79.73782730102539
52,WA,55,19.34648036956787,80.65352058410645
53,MT,31,20.770607948303223,79.2293930053711
54,TX,453,25.469496726989746,74.53050422668457
55,KS,45,23.199649810791016,76.80035018920898
56,MN,53,22.228495121002197,77.77150344848633
57,VA,95,22.306707859039307,77.69329071044922
58,CO,19,22.83527970314026,77.16471862792969
59,IN,11,24.024287700653076,75.97571182250977
60,NJ,3,29.1109676361084,70.88903045654297
61,VA,830,26.267879486083984,73.73212051391602
62,GA,219,24.717047214508057,75.28295516967773
63,CO,37,23.405790328979492,76.59421157836914
64,IA,49,22.81407403945923,77.1859245300293
65,CO,31,28.01896858215332,71.98103141784668
66,IL,43,24.913130283355713,75.08686828613281
67,MS,89,24.87171173095703,75.12828826904297
68,VA,678,31.953801155090332,68.04619979858398
69,NY,119,30.395681381225586,69.60432052612305
70,RI,5,25.504399299621582,74.49560165405273
71,PA,91,28.90066957473755,71.09933090209961
72,WI,89,24.045753002166748,75.9542465209961
73,VA,199,22.18618154525757,77.81381797790527
74,NC,63,28.10713005065918,71.89286994934082
75,CO,107,21.93685245513916,78.06314659118652
76,RI,1,29.364179611206055,70.63582038879395
77,MN,19,20.98903775215149,79.01096153259277
78,CO,91,15.005009770393372,84.99499130249023
79,MA,15,27.54916524887085,72.45083427429199
80,CT,1,30.57370090484619,69.42629814147949
81,SD,27,28.12191390991211,71.87808609008789
82,CA,1,28.17752456665039,71.82247352600098
83,GA,67,25.798758029937744,74.20124435424805
84,WA,75,20.272764205932617,79.72723770141602
85,ME,5,26.34363079071045,73.65636825561523
86,MI,125,24.018256187438965,75.98174285888672
87,MO,19,25.925108909606934,74.07489013671875
88,CO,69,22.432932376861572,77.56706809997559
89,MA,25,34.16950035095215,65.83050155639648
90,MA,19,22.2034273147583,77.79657173156738
91,NJ,25,28.980305194854736,71.01969718933105
92,KS,161,20.23711323738098,79.76288604736328
93,MS,71,26.987603187561035,73.01239585876465
94,GA,113,25.651995182037354,74.34800720214844
95,NY,59,30.462702751159668,69.53729629516602
96,MI,89,24.737060546875,75.26293754577637
97,MN,109,24.744176387786865,75.25582313537598
98,FL,73,25.691172122955322,74.30882835388184
99,OR,51,25.206584930419922,74.79341316223145
100,TX,157,27.077401161193848,72.92259788513184
101,CO,59,25.10619592666626,74.89380264282227
102,IL,97,29.30282497406006,70.69717407226562
103,VA,121,29.297890186309814,70.70211219787598
