,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
798,17,48,196,239,23597,748,160,IA,0.8928591054264713
799,19,40,52,72,19696,605,100,IA,0.9181846226073077
800,21,744,1907,591,12597,2198,2786,IA,0.4054842205912205
801,23,25,28,26,13827,360,68,IA,0.9311735946008838
802,25,32,26,152,9357,276,84,IA,0.8895549478555194
803,27,32,75,262,19543,594,254,IA,0.88733496590078
804,29,103,35,29,12413,427,120,IA,0.8953902522931872
805,31,54,62,83,17472,687,147,IA,0.8929519140163888
806,33,280,535,930,38618,2140,624,IA,0.8051603446643467
807,35,47,57,87,10831,398,238,IA,0.8648335808078119
808,37,28,30,80,11252,446,176,IA,0.8791122852061914
809,39,95,81,44,8231,665,632,IA,0.7220164392169752
810,41,62,105,100,15230,622,265,IA,0.8658873960375786
811,43,49,47,158,16229,425,135,IA,0.9075444875758016
812,45,156,263,1420,41771,2344,506,IA,0.8119764000675275
813,47,166,308,394,11262,1762,2633,IA,0.5022331561083124
814,49,262,5009,2698,83359,5794,2556,IA,0.7066700663896329
815,51,11,15,8,8797,229,50,IA,0.9331317077167586
816,53,44,39,108,7081,272,101,IA,0.8595942495661596
817,55,51,48,122,16787,394,86,IA,0.9220339967534397
818,57,100,403,2532,33164,2235,476,IA,0.7342568478576548
819,59,22,82,79,16819,559,142,IA,0.9037277633438127
820,61,1090,1028,4126,88314,3634,1074,IA,0.7949257618820516
821,63,57,32,92,8356,484,367,IA,0.7965596100434807
822,65,41,78,203,18271,763,153,IA,0.8788309064208886
823,67,45,295,419,14094,592,182,IA,0.8160789577761717
824,69,68,50,32,8366,739,764,IA,0.7085840326874299
825,71,24,11,11,6201,287,71,IA,0.8834320568972305
826,73,17,50,28,8258,332,86,IA,0.8880198281977871
827,75,10,24,49,11836,374,36,IA,0.9225738971322518
828,77,39,38,36,10032,334,144,IA,0.8930371986938305
829,79,77,319,103,13079,789,672,IA,0.7616018331503374
830,81,44,25,76,9959,505,186,IA,0.853667813633205
831,83,38,91,147,15465,724,413,IA,0.8421207148809898
832,85,32,50,27,13922,469,82,IA,0.9126120999879587
833,87,94,453,506,17990,976,463,IA,0.7753696551713223
834,89,55,27,23,8940,308,116,IA,0.8926439050334846
835,91,22,21,56,8920,308,270,IA,0.8657561280508959
836,93,15,22,31,6662,188,87,IA,0.9053760824454441
837,95,36,94,111,15571,627,223,IA,0.8750068024088158
838,97,235,46,152,18461,502,89,IA,0.8985518518320976
839,99,154,215,703,34866,1496,379,IA,0.8522619858682658
840,101,64,500,419,13565,803,312,IA,0.7548255832137379
841,103,365,8599,12847,117090,9749,4204,IA,0.6018532067479052
842,105,56,59,441,19244,669,177,IA,0.8703933283340995
843,107,15,16,51,9547,320,84,IA,0.9065841419617463
844,109,17,74,78,13916,515,228,IA,0.8822689817796717
845,111,80,140,910,30336,1789,300,IA,0.8210198931686314
846,113,1076,5374,16449,190644,13737,3019,IA,0.694668331430087
847,115,54,270,78,8834,765,836,IA,0.6761341304468645
848,117,7,29,23,8207,281,87,IA,0.9047143751164719
849,119,78,24,41,11270,335,186,IA,0.8929065027754882
850,121,38,85,50,15609,664,102,IA,0.8914207007409799
851,123,56,253,394,20453,883,151,IA,0.8516519119464998
852,125,90,401,292,31156,1258,217,IA,0.8711009086865952
853,127,363,1517,815,29579,3706,4125,IA,0.5650076820382401
854,129,40,48,77,13504,701,114,IA,0.8717074678142879
855,131,16,46,42,10107,267,87,IA,0.9159214552869365
856,133,148,28,28,8141,347,59,IA,0.8673706206924704
857,135,15,16,19,7225,238,64,IA,0.9103180859518926
858,137,37,26,25,9698,374,170,IA,0.8829877357933593
859,139,214,406,1141,34598,3407,3469,IA,0.6538268142232199
860,141,91,80,161,12825,649,376,IA,0.8207851787789819
861,143,68,21,30,5485,313,275,IA,0.7893610326569583
862,145,62,124,365,13858,653,149,IA,0.8326120705399537
863,147,29,39,52,8465,307,104,IA,0.8867924798749545
864,149,205,116,356,23289,1076,656,IA,0.8239830310219032
865,151,44,29,66,6459,298,182,IA,0.8353162168836636
866,153,2576,24510,35623,373903,36689,19100,IA,0.5914025507831823
867,155,735,785,1889,81329,5539,3390,IA,0.7592521117583862
868,157,86,223,328,17209,644,172,IA,0.8520932095479281
869,159,8,8,3,4469,155,20,IA,0.9196522889135633
870,161,20,31,46,9271,286,160,IA,0.8935542230795426
871,163,646,4858,14117,138752,12912,3384,IA,0.6441846231536604
872,165,59,49,53,10990,410,185,IA,0.8769472884668849
873,167,223,224,195,30745,2244,2241,IA,0.7425010000618714
874,169,358,5461,3019,81046,6012,2641,IA,0.6849591159056029
875,171,1429,81,137,13658,1063,767,IA,0.6482331787537627
876,173,21,15,2,5412,250,196,IA,0.845481850492204
877,175,45,65,118,11365,441,104,IA,0.8782174651528297
878,177,7,24,28,6923,199,22,IA,0.9245654600894097
879,179,752,629,1469,28180,2035,2372,IA,0.6426272852682481
880,181,120,383,455,48539,2380,526,IA,0.8602620902251015
881,183,73,116,188,20374,1058,756,IA,0.818660472645953
882,185,19,25,10,6261,170,12,IA,0.9293843461548147
883,187,192,303,1825,32108,1901,670,IA,0.7585842202145447
884,189,25,98,214,9665,420,257,IA,0.8217278462058234
885,191,46,178,131,18852,561,302,IA,0.8834420584258036
886,193,3176,3008,5197,76794,9611,8155,IA,0.5437109714465079
887,195,9,32,60,7041,261,40,IA,0.8962396446862426
888,197,94,69,75,10542,844,1319,IA,0.6781532711709904
889,1,152,67,186,11180,782,159,KS,0.8010889258373879
890,3,55,47,26,7312,330,66,KS,0.8726707287552038
891,5,95,83,788,14111,1002,269,KS,0.7514619480423614
892,7,39,16,8,3857,217,91,KS,0.8354035224018999
893,9,152,80,312,21157,1937,1855,KS,0.7000205521508818
894,11,102,98,469,12585,960,146,KS,0.7738005893033107
895,13,879,45,100,7772,607,105,KS,0.6810477689978406
896,15,608,1005,1463,58119,5228,957,KS,0.7509994906680177
897,17,19,8,20,2271,108,146,KS,0.7847470304680868
898,19,189,19,23,2847,225,76,KS,0.7180485881453095
899,21,825,65,80,16475,1769,148,KS,0.7342695470692234
900,23,7,12,7,2282,203,105,KS,0.76861749385106
901,25,22,24,6,1724,125,90,KS,0.7560382847878235
902,27,50,53,50,7542,356,66,KS,0.8654484132358395
903,29,53,40,123,8338,401,77,KS,0.8545115840460176
904,31,38,44,45,7777,406,50,KS,0.8678611696160802
905,33,3,0,12,1560,90,24,KS,0.8561752095630802
906,35,963,505,895,27413,3348,1425,KS,0.6423209306623617
907,37,566,461,913,32587,3174,1271,KS,0.7077672194067615
908,39,9,15,9,2605,119,7,KS,0.8901691899782399
909,41,108,80,117,16814,1035,248,KS,0.8382956524302886
910,43,102,32,268,6701,341,66,KS,0.7997732273524338
911,45,3036,4685,5301,92694,10500,2569,KS,0.6214295844398875
912,47,18,2,14,2400,262,211,KS,0.6950577405356676
913,49,48,4,5,2253,155,18,KS,0.8276502528916325
914,51,98,266,340,25584,1650,996,KS,0.7865147256977715
915,53,53,31,254,5655,317,66,KS,0.7908852637478373
916,55,402,1548,1542,19812,8625,6541,KS,0.34773437371722077
917,57,767,417,978,17167,6549,8409,KS,0.3487800288025068
918,59,227,108,305,23187,1788,381,KS,0.800742357394172
919,61,783,1250,6303,21857,4864,1682,KS,0.40460663057312496
920,63,4,15,5,2516,147,31,KS,0.8599758186910798
921,65,17,14,57,2212,101,14,KS,0.8413727179592694
922,67,169,14,10,4223,1426,1510,KS,0.41027531611097356
923,69,15,14,19,4879,448,278,KS,0.753633207035246
924,71,13,5,2,1075,105,84,KS,0.7120369561630807
925,73,36,36,28,5494,370,52,KS,0.8379421277303079
926,75,27,5,13,1597,338,538,KS,0.4660676646808586
927,77,103,15,17,4829,317,204,KS,0.7801992173899315
928,79,278,261,650,28658,2695,1482,KS,0.7181105950494608
929,81,11,2,13,2842,355,557,KS,0.5958352229780802
930,83,13,12,14,1584,81,19,KS,0.8476647750603037
931,85,1231,34,103,10727,972,165,KS,0.6714859108182281
932,87,159,43,103,16797,1142,124,KS,0.8402798354432492
933,89,12,10,5,2757,129,19,KS,0.8861990474400184
934,91,2952,33030,28781,473342,53066,18692,KS,0.6160952538194883
935,93,36,7,41,2661,746,492,KS,0.4968723779552932
936,95,40,35,38,6925,333,99,KS,0.8616453139644701
937,97,16,16,43,2184,171,30,KS,0.7935683125123935
938,99,460,91,867,16464,2038,264,KS,0.6781103885867145
939,101,11,0,0,1406,106,51,KS,0.8035573301214622
940,103,850,1103,6858,64640,7117,1313,KS,0.6383291378756484
941,105,17,10,8,2740,118,46,KS,0.8710738631173661
942,107,56,20,67,8906,498,44,KS,0.8650630841018118
943,109,3,10,5,2513,144,87,KS,0.8315511904868021
944,111,282,574,651,23801,3097,3774,KS,0.5708949438267824
945,113,164,225,478,26965,1718,673,KS,0.800085282750853
946,115,61,39,122,10910,513,178,KS,0.8537719043735178
947,117,25,46,42,9480,389,56,KS,0.8934901925383286
948,119,12,13,37,3262,415,316,KS,0.6637712343075559
949,121,182,161,436,30907,2188,317,KS,0.8215222509099874
950,123,12,13,19,5490,222,40,KS,0.8987320090817255
951,125,1047,201,1566,24297,3426,949,KS,0.6118526441007595
952,127,16,18,16,4985,288,63,KS,0.8596634643956652
953,129,25,31,20,2076,274,275,KS,0.6116816608161771
954,131,46,39,64,9700,328,96,KS,0.8927365658684088
955,133,172,84,148,14105,1141,254,KS,0.792196455582084
956,135,21,2,2,2347,142,173,KS,0.769941117475712
957,137,44,35,210,4863,259,48,KS,0.7974789233843348
958,139,51,52,33,14706,825,99,KS,0.8728570927642471
959,141,19,18,1,3304,129,29,KS,0.8926191020408162
960,143,22,11,30,5338,304,30,KS,0.8692267991477711
961,145,41,28,249,5361,446,128,KS,0.7422015427157573
962,147,23,15,19,4684,213,27,KS,0.8862051221261955
963,149,177,200,286,22618,1773,294,KS,0.8014631905382519
964,151,74,45,106,8104,505,323,KS,0.7877447317074434
965,153,3,11,19,2283,172,73,KS,0.8000787043693427
966,155,567,352,1863,52761,4579,1776,KS,0.7338801197883236
967,157,22,11,15,4437,178,11,KS,0.902652882349376
968,159,63,30,145,7853,898,438,KS,0.7054678725870945
969,161,665,3367,5011,54567,6027,2322,KS,0.5902095953527455
970,163,31,5,29,4619,223,12,KS,0.8838801927265615
971,165,4,14,7,2800,113,18,KS,0.8987653377181981
972,167,32,28,60,6138,369,64,KS,0.8447877472602373
973,169,380,1139,1830,43415,5277,2262,KS,0.651996036216313
974,171,52,16,14,4173,571,325,KS,0.6727051169607009
975,173,7156,22511,46531,357757,57662,32207,KS,0.49227222677531823
976,175,533,535,672,9015,5227,5982,KS,0.3013946166639929
977,177,2393,2521,14211,132398,18983,8403,KS,0.5677950887765999
978,179,13,12,3,2257,116,46,KS,0.8533911151808617
979,181,20,17,103,5025,434,328,KS,0.7275363272665981
980,183,16,9,17,3390,102,36,KS,0.9026689891642931
981,185,37,13,14,3500,333,175,KS,0.7474284104199074
982,187,45,2,14,1257,327,439,KS,0.4333179217583195
983,189,62,22,20,3484,596,1066,KS,0.4946777687074831
984,191,240,73,205,19934,1572,358,KS,0.7986136824831019
985,193,48,47,108,7100,443,184,KS,0.8055396764565105
986,195,5,12,5,2644,133,9,KS,0.8888802647705782
987,197,44,18,31,6303,428,53,KS,0.8440342993587927
988,199,7,0,3,1370,86,46,KS,0.8251754920075026
989,201,7,4,13,5153,242,111,KS,0.8706260443610228
990,203,25,2,3,1547,302,273,KS,0.5526932670913891
991,205,90,35,22,7759,630,88,KS,0.815030018268903
992,207,30,0,8,2890,170,17,KS,0.8638625817704939
993,209,2304,7705,34589,73721,25283,25643,KS,0.279035400384938
994,1,40,64,529,17322,677,271,KY,0.8420075019490256
995,3,57,48,204,19135,898,246,KY,0.8659872122150075
996,5,67,105,492,21797,1146,245,KY,0.8379770168034648
997,7,13,33,208,7103,366,5,KY,0.847780140726738
998,9,201,260,1724,39270,2228,802,KY,0.7836719053995858
999,11,5,21,128,12192,345,59,KY,0.9152431833910034
1000,13,41,124,558,22388,851,135,KY,0.8650306755228122
1001,15,750,3078,5728,114457,8680,3275,KY,0.7155897059924903
1002,17,69,77,1035,17076,1073,922,KY,0.7184634185989692
1003,19,123,278,1310,44282,1959,309,KY,0.8443677094184368
1004,21,65,361,2194,25365,2010,619,KY,0.696481893505909
1005,23,16,13,51,7994,293,33,KY,0.9069444444444444
1006,25,22,39,57,13083,501,16,KY,0.9109267185367408
1007,27,49,39,426,18831,965,122,KY,0.8521353505855356
1008,29,237,451,1045,75417,4329,738,KY,0.8444775929235077
1009,31,35,23,15,11464,427,407,KY,0.8610287509920258
1010,33,27,56,674,11244,578,70,KY,0.7951680417209299
1011,35,75,435,1313,32626,2107,547,KY,0.7780676892276056
1012,37,233,1034,2832,83361,4493,1123,KY,0.8056717006913267
1013,39,29,10,63,4531,184,9,KY,0.8831500322280422
1014,41,44,44,184,9567,657,314,KY,0.788110008805702
1015,43,59,63,212,25560,649,84,KY,0.9221394900740142
1016,45,54,55,83,14974,443,332,KY,0.8836139306286499
1017,47,635,973,15527,48279,5115,2219,KY,0.4921113189358397
1018,49,115,212,1648,32555,1733,709,KY,0.7799294889966996
1019,51,43,23,839,18891,484,65,KY,0.8644557012087086
1020,53,25,10,40,8745,294,139,KY,0.8944742805219867
1021,55,20,6,82,8559,284,39,KY,0.9075195155660537
1022,57,12,4,150,5462,222,38,KY,0.862650361088138
1023,59,321,2427,4872,88425,5359,1908,KY,0.738386302393847
1024,61,39,32,98,11546,362,49,KY,0.907615768119935
1025,63,19,18,246,6903,117,51,KY,0.8825395447107832
1026,65,30,7,30,13666,400,30,KY,0.9318598871914063
1027,67,1249,13427,48076,220236,22850,16732,KY,0.49782243858967823
1028,69,38,17,148,14381,370,128,KY,0.9099796153040829
1029,71,34,97,122,34828,787,74,KY,0.9394752827050348
1030,73,179,1032,4481,41736,3102,1011,KY,0.6676949190166213
1031,75,37,21,1444,4599,347,67,KY,0.550418686672058
1032,77,30,13,74,7862,452,259,KY,0.8221951875163044
1033,79,46,51,302,15581,798,175,KY,0.8473463622796142
1034,81,84,67,195,23002,1265,328,KY,0.8533822238991698
1035,83,132,181,1564,31149,2202,1421,KY,0.7293490002976966
1036,85,79,96,310,24904,877,154,KY,0.8898266831552955
1037,87,22,31,160,10447,352,95,KY,0.8859837489830722
1038,89,79,230,220,34096,1192,145,KY,0.9001142429040269
1039,91,4,38,79,8624,286,64,KY,0.9002399266674141
1040,93,911,2277,12825,82959,9400,2330,KY,0.5831512885707048
1041,95,56,85,541,25107,927,115,KY,0.8772535051448441
1042,97,35,46,307,17357,778,169,KY,0.8643525492984842
1043,99,45,47,705,17577,779,135,KY,0.8334806362842365
1044,101,145,241,3652,37648,2333,774,KY,0.7161188584473623
1045,103,60,36,372,14215,735,260,KY,0.8251325904877892
1046,105,15,11,386,3902,190,17,KY,0.7539998280774899
1047,107,127,232,2947,39331,2246,540,KY,0.7565826968617804
1048,109,45,19,12,12559,291,29,KY,0.9403243093801674
1049,111,3114,27115,168910,499868,57174,26788,KY,0.46184552205940793
1050,113,163,658,2290,45878,3015,987,KY,0.7551724045229441
1051,115,43,101,45,21933,503,55,KY,0.9357369109051943
1052,117,689,2032,8195,143992,10498,3658,KY,0.7322294113008323
1053,119,10,18,67,13861,274,21,KY,0.9464119535261929
1054,121,88,85,296,28616,999,109,KY,0.8994870642251306
1055,123,74,29,377,13490,693,204,KY,0.8263689125392792
1056,125,173,429,447,58888,2266,410,KY,0.8860126558057325
1057,127,6,23,36,15787,395,46,KY,0.93945465964113
1058,129,2,0,280,6909,169,35,KY,0.8748573515811396
1059,131,22,16,45,10197,222,11,KY,0.9412594656962829
1060,133,34,57,92,20841,486,38,KY,0.935995109919724
1061,135,22,9,36,12633,355,25,KY,0.9335704065314367
1062,137,42,60,470,22671,849,183,KY,0.8738776442687579
1063,139,31,15,25,8287,449,81,KY,0.8719918430861988
1064,141,61,95,1682,23902,1206,486,KY,0.7652184922854071
1065,143,28,34,510,7772,252,84,KY,0.8061408184501689
1066,145,232,663,7598,54304,4103,975,KY,0.6565926606771603
1067,147,67,32,916,15315,489,69,KY,0.8262058966353636
1068,149,12,13,49,8737,263,78,KY,0.9122964830187296
1069,151,331,1006,3963,80557,5626,1218,KY,0.7609718198808164
1070,153,20,5,14,11360,206,32,KY,0.9532853434419903
1071,155,70,134,1214,16948,876,339,KY,0.755351849165037
1072,157,78,136,101,29908,1281,155,KY,0.8941386140436614
1073,159,43,17,796,10259,167,5,KY,0.8313482545173637
1074,161,40,111,1024,14867,910,168,KY,0.7606645162787143
1075,163,213,218,987,26321,1923,341,KY,0.7750408874054433
1076,165,14,2,30,5891,162,14,KY,0.9294237388445952
1077,167,76,74,768,20268,1093,362,KY,0.8051240966607834
1078,169,5,7,117,9701,320,136,KY,0.8907604933284874
1079,171,39,11,218,10489,311,270,KY,0.8575472482183697
1080,173,58,146,621,25566,1255,468,KY,0.8297409141468954
1081,175,24,17,496,12570,553,66,KY,0.841610176258481
1082,177,68,59,1215,28366,998,222,KY,0.8438314915251992
1083,179,103,268,2200,41500,2205,462,KY,0.7929938067934978
1084,181,18,7,41,7178,227,66,KY,0.908025348354865
1085,183,60,45,166,22070,787,644,KY,0.8638210745930639
1086,185,217,1177,2244,58537,4270,1162,KY,0.7553824568531156
1087,187,30,18,83,10550,465,132,KY,0.8769666014755936
1088,189,11,3,14,3905,113,5,KY,0.9300174320245798
1089,191,25,30,56,13904,524,105,KY,0.9028418040365978
1090,193,58,255,375,26820,863,102,KY,0.8884496933187949
1091,195,95,373,496,55974,1478,253,KY,0.911006498138858
1092,197,28,30,66,12559,353,93,KY,0.9158623422419134
1093,199,223,440,695,60111,2759,806,KY,0.85645771806415
1094,201,3,7,6,2112,62,3,KY,0.928313547499828
1095,203,35,30,60,15378,451,83,KY,0.9203435635562923
1096,205,52,170,383,22914,803,340,KY,0.8648105551437891
1097,207,81,104,113,16733,601,359,KY,0.8666488921064266
1098,209,210,594,2951,48523,3659,1218,KY,0.7280934953802416
1099,211,290,369,2755,38653,3566,2432,KY,0.6581536525645899
1100,213,88,94,1640,16374,1095,303,KY,0.7087452138678519
1101,215,50,90,299,17910,995,146,KY,0.8473631265826551
1102,217,42,246,1255,22938,1163,379,KY,0.781583094912762
1103,219,49,22,887,10354,579,352,KY,0.7235529788039577
1104,221,41,27,952,12309,619,113,KY,0.7729239532541423
1105,223,42,27,30,7992,333,50,KY,0.8911018774388766
1106,225,28,32,1041,11873,592,102,KY,0.7623321337672875
1107,227,1163,7326,12933,99453,8523,5156,KY,0.5640726382455209
1108,229,35,38,659,10538,479,278,KY,0.7728593246056107
1109,231,55,62,240,18139,606,453,KY,0.8620866569590676
1110,233,96,26,485,11440,561,409,KY,0.7766698607335267
1111,235,102,207,568,34307,1262,266,KY,0.8747847928082356
1112,237,18,5,27,6383,108,21,KY,0.9464937216214717
1113,239,120,159,1248,22701,1610,1033,KY,0.7209906694065243
1114,1,154,163,9989,44480,1973,817,LA,0.6283148349930207
1115,3,546,183,4102,16327,1071,521,LA,0.5509429682405506
1116,5,546,1709,30521,81141,7782,4801,LA,0.4750720207470825
1117,7,102,62,6013,13722,855,285,LA,0.5089377254228502
1118,9,373,359,10706,25625,1807,823,LA,0.492194726640944
1119,11,336,223,4111,29529,1983,367,LA,0.6685672319619801
1120,13,67,21,5307,6950,575,61,LA,0.4558048998518222
1121,15,916,2396,30099,81052,9335,4948,LA,0.4581199004418158
1122,17,1219,3206,115298,103457,10860,3808,LA,0.4267362805956258
1123,19,1238,3827,55263,139772,11867,4818,LA,0.48452115804682233
1124,21,22,42,1534,7646,344,57,LA,0.6550672782159616
1125,23,29,13,72,5232,201,70,LA,0.8692462785836467
1126,25,52,28,2297,5776,244,509,LA,0.4912007584367082
1127,27,43,42,6184,7263,429,209,LA,0.4543296965121079
1128,29,50,117,7518,10275,547,180,LA,0.46518299166296134
1129,31,269,99,9621,15284,1137,402,LA,0.4558470226568499
1130,33,1406,14499,206681,196069,22623,15503,LA,0.3936011002079102
1131,35,3,19,5188,2054,160,35,LA,0.5600883165550441
1132,37,72,48,7139,11516,600,164,LA,0.4819046706611972
1133,39,59,183,8664,21354,1169,921,LA,0.5096020238456412
1134,41,31,41,6554,12492,579,77,LA,0.5098290156875248
1135,43,212,67,3108,17709,969,104,LA,0.6597984488244719
1136,45,310,1943,23162,39206,3722,1586,LA,0.4281801349153057
1137,47,80,123,13377,14833,1076,752,LA,0.4381617327476328
1138,49,42,149,3956,9967,613,304,LA,0.5111436453368602
1139,51,2676,19780,117892,220935,42809,36689,LA,0.34118390230243467
1140,53,182,100,5148,25066,1429,325,LA,0.6316899705546541
1141,55,1037,5268,61086,153363,14282,6717,LA,0.47103874347897556
1142,57,2585,773,14640,71710,5307,2542,LA,0.5672323824989364
1143,59,145,252,1299,11348,493,1254,LA,0.6050298116070003
1144,61,193,685,18729,26034,1919,836,LA,0.4412281284029726
1145,63,501,1123,11268,116855,9004,3531,LA,0.6854868662565806
1146,65,34,6,6224,3475,233,45,LA,0.5069878461282884
1147,67,88,96,12048,12281,932,184,LA,0.4520037684165738
1148,69,346,173,14948,19361,1882,805,LA,0.4281947047916806
1149,71,1484,10703,208273,126462,24666,12409,LA,0.40859899009464384
1150,73,552,2291,59083,88545,6779,3118,LA,0.44296968613414334
1151,75,325,1053,4920,14287,1981,949,LA,0.4238393171888375
1152,77,52,65,7245,12395,730,271,LA,0.4797909680754292
1153,79,1061,1828,40484,77510,6856,2284,LA,0.4556637835815409
1154,81,47,1,2965,4195,345,67,LA,0.45664768773981984
1155,83,55,50,7336,11785,646,171,LA,0.48081826637216346
1156,85,1938,63,3529,15036,1363,226,LA,0.4975181168804082
1157,87,341,997,11507,24497,4321,2101,LA,0.39508925556215757
1158,89,279,576,13133,33550,3696,1315,LA,0.47580165264304164
1159,91,52,20,5861,4527,353,107,LA,0.46109745870734886
1160,93,39,31,9523,9973,479,147,LA,0.4669951302284126
1161,95,179,317,24305,13877,2294,1505,LA,0.43837837665007046
1162,97,215,380,34360,43611,2768,1206,LA,0.45382403544501104
1163,99,205,441,15099,33259,2033,730,LA,0.49967618468449865
1164,101,1019,647,15058,26949,3268,2465,LA,0.3978794549719845
1165,103,1289,3898,34356,196641,22374,6012,LA,0.577188295513445
1166,105,557,1003,40039,81336,7236,2986,LA,0.46705533888238704
1167,107,1,6,2250,1744,127,19,LA,0.47219139590858245
1168,109,6110,1322,21253,69934,7127,3834,LA,0.4536250220315562
1169,111,87,38,4995,14460,799,728,LA,0.5279823704243851
1170,113,208,1263,7931,44477,2511,969,LA,0.6230858995205922
1171,115,867,888,6491,35087,4083,1334,LA,0.5441562458382644
1172,117,143,164,12858,29943,1799,556,LA,0.5155122903733179
1173,119,161,138,12185,22735,1420,328,LA,0.4884702054767864
1174,121,95,220,10754,14307,1237,586,LA,0.43562588209931924
1175,123,42,14,1341,7894,330,130,LA,0.6756407766386826
1176,125,104,30,3618,10883,451,224,LA,0.5622743125845523
1177,127,97,173,3525,8594,494,872,LA,0.46155500772264696
1178,1,478,906,6531,96625,5769,830,ME,0.7621565469238196
1179,3,1242,396,447,62521,2205,294,ME,0.8695653196691037
1180,5,929,7204,12120,264408,15446,2962,ME,0.7660094796114585
1181,7,97,386,174,27356,1261,182,ME,0.8645854086567327
1182,9,272,566,355,51444,2448,393,ME,0.8620265581151084
1183,11,540,1227,919,113639,6467,850,ME,0.8476952216799715
1184,13,172,250,272,37713,1924,276,ME,0.8649340666448773
1185,15,114,234,165,33215,1368,141,ME,0.8901267805546621
1186,17,215,275,229,53795,2951,312,ME,0.8695997691742204
1187,19,1477,1865,1507,139311,7138,901,ME,0.8403901854246372
1188,21,120,120,61,15572,808,119,ME,0.8616309878117914
1189,23,117,258,314,34046,1775,189,ME,0.8631429922506577
1190,25,255,263,250,47184,2267,258,ME,0.8759010519721888
1191,27,165,207,148,37097,1763,227,ME,0.8793436472006384
1192,29,1417,121,162,27789,1312,294,ME,0.8026536948881504
1193,31,718,2520,2098,195326,9808,1502,ME,0.8515502761049862
1194,1,159,742,5341,58377,3019,468,MD,0.7429909891120688
1195,3,2803,25504,104473,377634,49478,28369,MD,0.4549422694348027
1196,5,3831,54968,255793,452124,53621,34198,MD,0.37923259458023006
1197,9,384,1581,12100,69935,7485,1298,MD,0.5921544600944574
1198,11,165,350,4434,24479,2169,1696,MD,0.5653184921682429
1199,13,439,3775,6482,148621,10600,2974,MD,0.7448945869009254
1200,15,317,1247,7803,84806,7469,2083,MD,0.6798781813225022
1201,17,1404,5706,82035,58587,13341,5544,MD,0.3748186825173821
1202,19,141,355,9140,20128,1809,958,MD,0.46586789443188004
1203,21,1354,13570,27802,189470,25086,14435,MD,0.5105705206898629
1204,23,40,85,246,27521,783,131,MD,0.9136155159957482
1205,25,910,8173,37706,190128,18499,5508,MD,0.5583112698564591
1206,27,1324,66288,65275,159329,27120,12981,MD,0.3164444131602926
1207,29,41,251,2808,14574,1083,441,MD,0.6015749526640213
1208,31,7646,163507,197077,457783,119262,116786,MD,0.2686765208827666
1209,33,9481,41875,578703,124863,72594,139685,MD,0.403123552846
1210,35,175,589,2811,42290,2740,1269,MD,0.7259909150792925
1211,37,528,3362,16294,81952,9362,2279,MD,0.5473877821134782
1212,39,116,254,9505,13076,994,675,MD,0.4336399610389868
1213,41,158,538,4249,28436,2239,1906,MD,0.5933958676781661
1214,43,554,3109,17691,117465,11281,4605,MD,0.5962084857430898
1215,45,480,3152,27990,61425,6775,3766,MD,0.43117570765103025
1216,47,144,753,6236,41845,2642,840,MD,0.6533908121490163
1217,510,2498,21210,338478,163026,32450,28046,MD,0.41812827102859557
1218,1,1305,3223,6603,196459,15882,5524,MA,0.7424713819281124
1219,3,311,2019,4296,110862,8327,3211,MA,0.7444064185160661
1220,5,2614,13779,25668,455763,50682,30694,MA,0.6322012996052376
1221,7,224,185,813,16321,2227,830,MA,0.642776981807899
1222,9,4361,29819,33524,558325,75232,108568,MA,0.5050230246028002
1223,11,206,1198,1075,62398,4802,1350,MA,0.7771918752706345
1224,13,2624,12344,41556,302357,47931,59013,MA,0.4566316098022421
1225,15,484,10796,4706,130161,11946,4215,MA,0.6544703695019635
1226,17,4120,210462,84670,1112445,134739,85566,MA,0.4935327726498244
1227,19,92,264,1027,10159,1387,1326,MA,0.5315824005828595
1228,21,1423,88512,51371,519522,46584,18569,MA,0.5367502441525868
1229,23,1319,7772,45132,411558,45098,19940,MA,0.6172097659329412
1230,25,4274,81140,145566,375467,88967,102522,MA,0.29400382569288497
1231,27,2962,46421,48022,634240,75063,55403,MA,0.558953640236274
1232,1,62,14,23,9644,382,42,MI,0.9012372594742648
1233,3,329,26,587,7363,491,46,MI,0.7023506642870251
1234,5,821,874,1584,105564,7532,4127,MI,0.7727894309259921
1235,7,134,119,99,27177,1251,127,MI,0.885829823454902
1236,9,221,72,39,21902,1059,138,MI,0.8759259986053377
1237,11,131,38,35,14017,704,77,MI,0.8753117413078868
1238,13,1100,16,604,5772,630,36,MI,0.5302431308694229
1239,15,276,247,313,57488,3340,759,MI,0.851206347081787
1240,17,468,538,1705,93305,6491,1349,MI,0.811527500356549
1241,19,178,71,67,16726,800,128,MI,0.8684996047019565
1242,21,1063,3189,21420,113608,10745,4291,MI,0.5673589514999559
1243,23,202,270,1156,39595,2455,1184,MI,0.7833865124304411
1244,25,914,3742,14513,102712,9588,2841,MI,0.6028668403542
1245,27,608,319,2321,44005,3409,927,MI,0.7344859084980366
1246,29,394,124,78,24052,1242,164,MI,0.8547960062563285
1247,31,721,91,96,23016,1559,96,MI,0.8141912083876579
1248,33,5681,194,2625,24803,3284,198,MI,0.49160955025056696
