,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
100,7,8976,445,282,35904,4592,3073,AZ,0.4934882064084615
101,9,5410,192,537,25043,4126,3225,AZ,0.4607848385431423
102,11,360,75,87,6584,1564,893,AZ,0.5110431908053374
103,12,2882,115,114,9772,2061,1613,AZ,0.40372051067577475
104,13,111611,203696,260469,2645512,600675,598605,AZ,0.40118193768606936
105,15,5594,2734,2221,169732,20310,12676,AZ,0.6469659021755505
106,17,47528,567,760,48430,6283,3149,AZ,0.4087157808087316
107,19,36822,31367,39954,633382,174245,127663,AZ,0.41494097228219157
108,21,22347,6718,21968,269258,54976,49997,AZ,0.43709856732716984
109,23,476,304,187,15929,17011,13762,AZ,0.3225115271709883
110,25,4577,2932,1543,192507,22239,12411,AZ,0.6763990687281023
111,27,3805,2587,4099,90318,51828,51244,AZ,0.32495134263147546
112,1,53,94,4156,11698,743,405,AR,0.5265197939716052
113,3,62,41,4669,12958,707,625,AR,0.5245635343238423
114,5,264,234,90,38489,2223,327,AR,0.8579052487266168
115,7,7722,13721,4732,201188,31411,25559,AR,0.5242956034116883
116,9,304,246,108,34128,2328,259,AR,0.8379302511396153
117,11,92,30,2937,5890,440,1156,AR,0.40340439863386623
118,13,19,6,913,3539,208,54,AR,0.5968739325965872
119,15,813,567,95,21952,2358,2475,AR,0.6192718308257815
120,17,45,38,5417,3953,341,414,AR,0.43435533842778673
121,19,114,153,5127,14316,1113,623,AR,0.5063745008174227
122,21,52,15,42,13731,615,97,AR,0.8921989983561823
123,23,144,102,69,22953,1211,232,AR,0.8653250056345988
124,25,36,7,686,6466,268,87,AR,0.7431338976360686
125,27,74,168,7866,13371,841,481,AR,0.4647752092676251
126,29,175,90,2209,16367,1441,433,AR,0.6410017938822271
127,31,417,1692,18473,80639,6564,3446,AR,0.5578492348951452
128,33,1521,947,897,48610,5816,2342,AR,0.6654515005222423
129,35,153,327,25905,19276,1819,683,AR,0.45115759037318653
130,37,53,102,3658,12213,661,146,AR,0.5752950303785015
131,39,17,7,2592,3487,276,103,AR,0.4513663784580489
