,CountyNo,STATE,HHI,FractionOfForeigners,MedianIncome,PovertyRate,Movers,Gini,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,BelowUni,AboveUni,Rural_Urbanization,PopulationDevelopment
29,59,AL,0.4666088213357621,0.10178754010506647,24061.0,0.21245989493354017,2.4,0.4339,21.323144912719727,39.02519989013672,24.6025333404541,15.04911994934082,60.348344802856445,39.65165328979492,6.0,-342
30,61,AL,0.44658852287746303,0.016845210371060394,22168.0,0.21980282564819129,4.8,0.4344,18.188142776489258,36.124786376953125,32.60380935668945,13.08326244354248,54.31292915344238,45.687071800231934,2.0,-519
31,63,AL,0.6034987553864358,0.008047542404358054,18127.0,0.36152036647270025,1.1,0.4841,19.070735931396484,39.89250946044922,30.911928176879883,10.124826431274414,58.9632453918457,41.0367546081543,6.0,-934
32,65,AL,0.5184467969628026,0.0026038097848430863,18364.0,0.24174318212964233,4.3999999999999995,0.4997,19.335527420043945,37.21440505981445,27.855932235717773,15.594133377075195,56.5499324798584,43.45006561279297,2.0,-1109
33,67,AL,0.41318554409444486,0.009198813056379823,24649.0,0.14771513353115728,4.3,0.4458,19.52677345275879,32.26625061035156,29.310626983642578,18.89634895324707,51.79302406311035,48.20697593688965,2.0,-97
34,69,AL,0.3765506243301183,0.02494013775706276,26243.0,0.17549737394440448,4.3,0.4798,13.12600326538086,31.522171020507812,33.223995208740234,22.12782859802246,44.64817428588867,55.351823806762695,2.0,4335
35,71,AL,0.46768532575517074,0.015356228795905006,24231.0,0.17766799595262187,2.3,0.454,16.538192749023438,39.084144592285156,28.157512664794922,16.220149993896484,55.622337341308594,44.377662658691406,5.0,-1601
36,73,AL,0.4632285434813371,0.040543718771449,30328.0,0.15849344590411005,4.800000000000001,0.5037,9.485001564025879,26.33026695251465,30.13471031188965,34.05002212524414,35.81526851654053,64.18473243713379,1.0,107
37,75,AL,0.7577777684294014,0.008663093752294251,22595.0,0.17223405036340944,4.5,0.4393,17.043832778930664,41.039756774902344,30.632007598876953,11.284403800964355,58.08358955383301,41.91641139984131,7.0,-759
38,77,AL,0.47423226293423076,0.021853747147825703,26424.0,0.13034713453401564,8.8,0.4595,11.38416862487793,34.885860443115234,28.65390396118164,25.076066970825195,46.270029067993164,53.729970932006836,2.0,20
39,79,AL,0.7647957405248303,0.008149657343952585,25519.0,0.16691362598011977,5.0,0.4293,19.217126846313477,39.673519134521484,25.25960350036621,15.849749565124512,58.89064598083496,41.10935306549072,2.0,-1415
40,81,AL,0.5068924206378279,0.0591379908263484,26380.0,0.19765882129700516,9.900000000000002,0.51,9.63499927520752,22.30579376220703,31.63067054748535,36.42853546142578,31.94079303741455,68.05920600891113,2.0,24295
41,83,AL,0.39730334233236875,0.03463923763424595,29303.0,0.12532143397368023,7.4,0.43,14.729161262512207,29.33621597290039,31.01921272277832,24.915409088134766,44.0653772354126,55.934621810913086,2.0,16133
42,85,AL,0.6071335732764812,0.006858429726686457,20328.0,0.22448561777049852,2.4,0.4876,17.80324935913086,41.20719528198242,26.334880828857422,14.654671669006348,59.01044464111328,40.98955249786377,2.0,-1573
43,87,AL,0.7009607286077308,0.005617358739949334,19505.0,0.2044278004185483,5.9,0.5084,16.434797286987305,30.60677146911621,32.48407745361328,20.474353790283203,47.041568756103516,52.958431243896484,6.0,-3384
44,89,AL,0.7325512665773614,0.057323208795304205,34448.0,0.11749103233019659,6.0,0.4632,8.331947326660156,19.457841873168945,28.38096809387207,43.82924270629883,27.7897891998291,72.2102108001709,2.0,38098
45,91,AL,0.4622609875286735,0.011192031701831423,23742.0,0.21152404412552211,2.5,0.5509,14.556621551513672,38.21113204956055,30.119001388549805,17.113243103027344,52.76775360107422,47.23224449157715,11.0,-2164
46,93,AL,0.777959000412023,0.013981949952140025,20853.0,0.16942431286749624,3.7,0.4588,18.904071807861328,34.488426208496094,33.262901306152344,13.344602584838867,53.39249801635742,46.60750389099121,11.0,-1067
47,95,AL,0.44693442295897845,0.07721656976744186,25730.0,0.19892351017441862,4.7,0.4616,16.67547607421875,31.07490348815918,31.575510025024414,20.674108505249023,47.75037956237793,52.24961853027344,5.0,3755
48,97,AL,0.3288520167130833,0.03263845871837984,26718.0,0.17928523570534619,3.1000000000000005,0.4709,12.697510719299316,33.538841247558594,29.37543487548828,24.388212203979492,46.23635196685791,53.76364707946777,2.0,218
49,99,AL,0.4281353447404021,0.007681835861532478,22504.0,0.24008168028004667,2.1999999999999997,0.5292,16.533931732177734,46.04179382324219,23.878564834594727,13.545708656311035,62.57572555541992,37.42427349090576,11.0,-2335
50,101,AL,0.3414853018461479,0.05012467892832368,27263.0,0.18789020754823105,8.0,0.4899,12.672057151794434,24.452566146850586,29.153759002685547,33.721614837646484,37.12462329864502,62.87537384033203,2.0,-2877
51,103,AL,0.6699261794627658,0.04750106564364876,27306.0,0.15138356067064507,4.5,0.4558,15.954719543457031,31.702627182006836,31.03986167907715,21.302791595458984,47.65734672546387,52.34265327453613,2.0,189
52,105,AL,0.5413968038192244,0.020971178647527195,15560.0,0.33542671302007404,5.799999999999999,0.4591,21.649484634399414,36.08247375488281,24.445220947265625,17.82282066345215,57.73195838928223,42.26804161071777,4.0,-1668
53,107,AL,0.4403757192585917,0.03898686482809147,20839.0,0.23256057355172954,5.700000000000001,0.4859,17.148616790771484,38.98234558105469,29.445293426513672,14.423745155334473,56.13096237182617,43.869038581848145,2.0,184
54,109,AL,0.44994653938683676,0.04415724286483576,22274.0,0.22484082485983084,8.9,0.5213,12.646297454833984,33.38166809082031,24.344898223876953,29.62713623046875,46.0279655456543,53.9720344543457,5.0,215
55,111,AL,0.5799697560941665,0.016596761827447796,25140.0,0.18468407522662697,4.800000000000001,0.4652,18.076658248901367,35.38423156738281,29.43787956237793,17.101232528686523,53.46088981628418,46.53911209106445,4.0,-191
56,113,AL,0.3340520420816339,0.03271920969137583,25281.0,0.21951615229304874,8.799999999999999,0.4796,14.722504615783691,29.69959259033203,38.085540771484375,17.49236297607422,44.42209720611572,55.577903747558594,2.0,5014
57,115,AL,0.44195810132744506,0.01720987254516435,30269.0,0.11186417154356827,5.2,0.4035,14.235977172851562,34.84148406982422,32.80066680908203,18.121871948242188,49.07746124267578,50.92253875732422,1.0,5919
58,117,AL,0.40855101510297737,0.05305564300330552,38721.0,0.07119175979852038,7.3999999999999995,0.4424,6.792023658752441,19.434877395629883,29.56404685974121,44.20905303955078,26.226901054382324,73.77309989929199,1.0,22617
59,119,AL,0.5639218452070638,0.019843214110730034,16495.0,0.29446349828515433,8.2,0.4841,14.73161792755127,34.55661392211914,32.297245025634766,18.414522171020508,49.28823184967041,50.71176719665527,6.0,-1336
60,121,AL,0.6342316249845797,0.02067097204925084,23045.0,0.17318679625611463,4.8999999999999995,0.462,18.19461441040039,33.458065032958984,33.08209228515625,15.265230178833008,51.652679443359375,48.34732246398926,3.0,-2313
61,123,AL,0.5404148340812497,0.016668780920969174,24608.0,0.16407459089179247,6.6,0.4558,18.783206939697266,32.93051528930664,29.471820831298828,18.81446075439453,51.713722229003906,48.28628158569336,6.0,-1249
62,125,AL,0.3685570806010871,0.03695058530610606,26205.0,0.16845370760797543,8.200000000000001,0.4617,10.480372428894043,28.936918258666992,29.43714714050293,31.14556312561035,39.417290687561035,60.58271026611328,2.0,14699
