,STATE,CountyNo,year,Unemployment
11266,GA,231,2020,4.9
11267,GA,231,2021,2.8
11283,GA,233,2015,6.7
11284,GA,233,2016,6.2
11285,GA,233,2017,5.3
11286,GA,233,2018,4.3
11287,GA,233,2019,3.8
11288,GA,233,2020,5.9
11289,GA,233,2021,3.6
11305,GA,235,2015,6.7
11306,GA,235,2016,5.9
11307,GA,235,2017,5.3
11308,GA,235,2018,4.4
11309,GA,235,2019,4.0
11310,GA,235,2020,4.7
11311,GA,235,2021,3.6
11327,GA,237,2015,8.2
11328,GA,237,2016,7.1
11329,GA,237,2017,5.8
11330,GA,237,2018,5.0
11331,GA,237,2019,4.5
11332,GA,237,2020,6.4
11333,GA,237,2021,4.0
11349,GA,239,2015,6.9
11350,GA,239,2016,7.4
11351,GA,239,2017,5.9
11352,GA,239,2018,5.7
11353,GA,239,2019,5.3
11354,GA,239,2020,6.3
11355,GA,239,2021,4.9
11371,GA,241,2015,6.8
11372,GA,241,2016,6.0
11373,GA,241,2017,5.0
11374,GA,241,2018,4.0
11375,GA,241,2019,3.7
11376,GA,241,2020,5.3
11377,GA,241,2021,3.1
11393,GA,243,2015,9.3
11394,GA,243,2016,8.6
11395,GA,243,2017,6.5
11396,GA,243,2018,5.6
11397,GA,243,2019,5.0
11398,GA,243,2020,5.9
11399,GA,243,2021,5.2
11415,GA,245,2015,7.5
11416,GA,245,2016,6.8
11417,GA,245,2017,6.0
11418,GA,245,2018,5.3
11419,GA,245,2019,4.7
11420,GA,245,2020,7.6
11421,GA,245,2021,5.3
11437,GA,247,2015,6.6
11438,GA,247,2016,5.9
11439,GA,247,2017,5.3
11440,GA,247,2018,4.5
11441,GA,247,2019,4.0
11442,GA,247,2020,7.6
11443,GA,247,2021,4.6
11459,GA,249,2015,6.8
11460,GA,249,2016,6.4
11461,GA,249,2017,5.5
11462,GA,249,2018,4.7
11463,GA,249,2019,4.0
11464,GA,249,2020,4.3
11465,GA,249,2021,3.7
11481,GA,251,2015,8.5
11482,GA,251,2016,7.6
11483,GA,251,2017,6.3
11484,GA,251,2018,5.5
11485,GA,251,2019,5.6
11486,GA,251,2020,8.1
11487,GA,251,2021,5.6
11503,GA,253,2015,8.2
11504,GA,253,2016,8.0
11505,GA,253,2017,6.5
11506,GA,253,2018,5.4
11507,GA,253,2019,4.4
11508,GA,253,2020,5.0
11509,GA,253,2021,3.7
11525,GA,255,2015,8.2
11526,GA,255,2016,7.0
11527,GA,255,2017,5.9
11528,GA,255,2018,4.8
11529,GA,255,2019,4.2
11530,GA,255,2020,7.5
11531,GA,255,2021,4.7
11547,GA,257,2015,6.6
11548,GA,257,2016,6.0
11549,GA,257,2017,5.3
11550,GA,257,2018,4.6
11551,GA,257,2019,3.9
11552,GA,257,2020,6.3
11553,GA,257,2021,4.3
11569,GA,259,2015,7.0
11570,GA,259,2016,6.5
11571,GA,259,2017,6.0
11572,GA,259,2018,4.8
11573,GA,259,2019,4.4
11574,GA,259,2020,5.6
11575,GA,259,2021,3.8
11591,GA,261,2015,8.5
11592,GA,261,2016,7.7
11593,GA,261,2017,6.8
11594,GA,261,2018,6.0
11595,GA,261,2019,4.9
11596,GA,261,2020,7.4
11597,GA,261,2021,5.7
11613,GA,263,2015,7.9
11614,GA,263,2016,6.8
11615,GA,263,2017,6.2
11616,GA,263,2018,5.1
11617,GA,263,2019,4.6
11618,GA,263,2020,6.7
11619,GA,263,2021,4.5
11635,GA,265,2015,8.0
11636,GA,265,2016,6.9
11637,GA,265,2017,6.7
11638,GA,265,2018,5.4
11639,GA,265,2019,5.3
11640,GA,265,2020,7.1
11641,GA,265,2021,5.0
11657,GA,267,2015,6.3
11658,GA,267,2016,5.4
11659,GA,267,2017,5.0
11660,GA,267,2018,4.3
11661,GA,267,2019,3.9
11662,GA,267,2020,4.3
11663,GA,267,2021,3.2
11679,GA,269,2015,9.3
11680,GA,269,2016,7.6
11681,GA,269,2017,8.8
11682,GA,269,2018,6.6
11683,GA,269,2019,4.3
11684,GA,269,2020,7.2
11685,GA,269,2021,5.7
11701,GA,271,2015,8.8
11702,GA,271,2016,8.5
11703,GA,271,2017,7.9
11704,GA,271,2018,6.8
11705,GA,271,2019,9.6
11706,GA,271,2020,9.8
11707,GA,271,2021,7.2
11723,GA,273,2015,7.6
11724,GA,273,2016,6.6
11725,GA,273,2017,6.0
11726,GA,273,2018,6.8
11727,GA,273,2019,5.2
11728,GA,273,2020,7.5
11729,GA,273,2021,6.2
11745,GA,275,2015,7.4
11746,GA,275,2016,6.3
11747,GA,275,2017,5.8
11748,GA,275,2018,4.7
11749,GA,275,2019,4.1
11750,GA,275,2020,6.2
11751,GA,275,2021,4.2
11767,GA,277,2015,6.2
11768,GA,277,2016,5.5
11769,GA,277,2017,4.7
11770,GA,277,2018,4.0
11771,GA,277,2019,3.4
11772,GA,277,2020,5.1
11773,GA,277,2021,3.4
11789,GA,279,2015,8.9
11790,GA,279,2016,7.9
11791,GA,279,2017,6.6
11792,GA,279,2018,5.9
11793,GA,279,2019,5.0
11794,GA,279,2020,6.5
11795,GA,279,2021,4.5
11811,GA,281,2015,8.0
11812,GA,281,2016,6.9
11813,GA,281,2017,6.6
11814,GA,281,2018,5.7
11815,GA,281,2019,5.0
11816,GA,281,2020,6.6
11817,GA,281,2021,3.9
11833,GA,283,2015,8.6
11834,GA,283,2016,7.8
11835,GA,283,2017,6.8
11836,GA,283,2018,5.9
11837,GA,283,2019,5.3
11838,GA,283,2020,6.1
11839,GA,283,2021,4.3
11855,GA,285,2015,6.2
11856,GA,285,2016,5.2
11857,GA,285,2017,4.4
11858,GA,285,2018,3.7
11859,GA,285,2019,3.3
11860,GA,285,2020,7.2
11861,GA,285,2021,4.4
11877,GA,287,2015,6.9
11878,GA,287,2016,6.6
11879,GA,287,2017,5.7
11880,GA,287,2018,5.1
11881,GA,287,2019,3.9
11882,GA,287,2020,7.3
11883,GA,287,2021,6.4
11899,GA,289,2015,9.3
11900,GA,289,2016,8.8
11901,GA,289,2017,7.6
11902,GA,289,2018,6.0
11903,GA,289,2019,5.8
11904,GA,289,2020,7.4
11905,GA,289,2021,5.1
11921,GA,291,2015,5.4
11922,GA,291,2016,4.8
11923,GA,291,2017,4.5
11924,GA,291,2018,3.7
11925,GA,291,2019,3.3
11926,GA,291,2020,4.4
11927,GA,291,2021,2.7
11943,GA,293,2015,7.4
11944,GA,293,2016,6.5
11945,GA,293,2017,5.5
11946,GA,293,2018,4.4
11947,GA,293,2019,3.7
11948,GA,293,2020,6.5
11949,GA,293,2021,4.0
11965,GA,295,2015,6.1
11966,GA,295,2016,5.6
11967,GA,295,2017,4.6
11968,GA,295,2018,3.9
11969,GA,295,2019,3.7
11970,GA,295,2020,4.9
11971,GA,295,2021,3.1
11987,GA,297,2015,5.5
11988,GA,297,2016,5.0
11989,GA,297,2017,4.4
11990,GA,297,2018,3.6
11991,GA,297,2019,3.2
11992,GA,297,2020,5.3
11993,GA,297,2021,3.2
12009,GA,299,2015,6.6
12010,GA,299,2016,5.5
12011,GA,299,2017,4.6
12012,GA,299,2018,4.0
12013,GA,299,2019,3.8
12014,GA,299,2020,5.5
12015,GA,299,2021,3.7
12031,GA,301,2015,7.9
12032,GA,301,2016,7.0
12033,GA,301,2017,5.9
12034,GA,301,2018,5.0
12035,GA,301,2019,4.9
12036,GA,301,2020,6.7
12037,GA,301,2021,4.7
12053,GA,303,2015,7.1
12054,GA,303,2016,6.4
12055,GA,303,2017,5.9
12056,GA,303,2018,5.1
12057,GA,303,2019,4.3
12058,GA,303,2020,6.4
12059,GA,303,2021,5.0
12075,GA,305,2015,7.4
12076,GA,305,2016,6.9
12077,GA,305,2017,5.7
12078,GA,305,2018,4.7
12079,GA,305,2019,4.2
12080,GA,305,2020,5.5
12081,GA,305,2021,3.7
12097,GA,307,2015,9.5
12098,GA,307,2016,8.7
12099,GA,307,2017,7.6
12100,GA,307,2018,6.3
12101,GA,307,2019,5.1
12102,GA,307,2020,5.6
12103,GA,307,2021,4.4
12119,GA,309,2015,11.0
12120,GA,309,2016,9.1
12121,GA,309,2017,9.0
12122,GA,309,2018,7.4
12123,GA,309,2019,7.5
12124,GA,309,2020,7.2
12125,GA,309,2021,5.5
12141,GA,311,2015,5.3
12142,GA,311,2016,4.7
12143,GA,311,2017,3.9
12144,GA,311,2018,3.1
12145,GA,311,2019,2.8
12146,GA,311,2020,4.3
12147,GA,311,2021,2.5
12163,GA,313,2015,6.5
12164,GA,313,2016,6.2
12165,GA,313,2017,5.5
12166,GA,313,2018,4.8
12167,GA,313,2019,4.6
12168,GA,313,2020,7.2
12169,GA,313,2021,3.9
12185,GA,315,2015,8.0
12186,GA,315,2016,7.3
12187,GA,315,2017,5.8
12188,GA,315,2018,5.3
12189,GA,315,2019,4.6
12190,GA,315,2020,6.0
12191,GA,315,2021,4.6
12207,GA,317,2015,7.4
12208,GA,317,2016,6.7
12209,GA,317,2017,5.7
12210,GA,317,2018,4.7
12211,GA,317,2019,4.8
12212,GA,317,2020,6.7
12213,GA,317,2021,4.7
12229,GA,319,2015,7.4
12230,GA,319,2016,6.4
12231,GA,319,2017,5.7
12232,GA,319,2018,4.5
12233,GA,319,2019,3.9
12234,GA,319,2020,5.3
12235,GA,319,2021,4.2
12251,GA,321,2015,6.6
12252,GA,321,2016,5.9
12253,GA,321,2017,4.9
12254,GA,321,2018,4.5
12255,GA,321,2019,4.0
12256,GA,321,2020,5.4
12257,GA,321,2021,4.0
12295,HI,1,2015,4.2
12296,HI,1,2016,3.5
12297,HI,1,2017,2.6
12298,HI,1,2018,2.8
12299,HI,1,2019,3.1
12300,HI,1,2020,11.7
12301,HI,1,2021,5.5
12317,HI,3,2015,3.2
12318,HI,3,2016,2.7
12319,HI,3,2017,2.1
12320,HI,3,2018,2.3
12321,HI,3,2019,2.3
12322,HI,3,2020,10.5
12323,HI,3,2021,5.3
12339,HI,7,2015,3.8
12340,HI,7,2016,3.1
12341,HI,7,2017,2.2
12342,HI,7,2018,2.4
12343,HI,7,2019,2.4
12344,HI,7,2020,16.6
12345,HI,7,2021,7.8
12361,HI,9,2015,3.5
12362,HI,9,2016,3.0
12363,HI,9,2017,2.3
12364,HI,9,2018,2.3
12365,HI,9,2019,2.4
12366,HI,9,2020,18.2
12367,HI,9,2021,7.3
12405,ID,1,2015,3.4
12406,ID,1,2016,3.2
12407,ID,1,2017,2.8
12408,ID,1,2018,2.5
12409,ID,1,2019,2.6
12410,ID,1,2020,5.5
12411,ID,1,2021,3.3
12427,ID,3,2015,7.1
12428,ID,3,2016,6.7
12429,ID,3,2017,5.7
12430,ID,3,2018,5.5
12431,ID,3,2019,6.9
12432,ID,3,2020,9.6
12433,ID,3,2021,6.6
12449,ID,5,2015,3.7
12450,ID,5,2016,3.5
12451,ID,5,2017,3.1
12452,ID,5,2018,2.8
12453,ID,5,2019,2.9
12454,ID,5,2020,5.0
12455,ID,5,2021,3.6
12471,ID,7,2015,4.2
12472,ID,7,2016,4.4
12473,ID,7,2017,3.2
12474,ID,7,2018,2.9
12475,ID,7,2019,3.0
12476,ID,7,2020,4.3
12477,ID,7,2021,3.0
12493,ID,9,2015,6.1
12494,ID,9,2016,5.7
12495,ID,9,2017,5.6
12496,ID,9,2018,4.6
12497,ID,9,2019,5.3
12498,ID,9,2020,7.7
12499,ID,9,2021,5.6
12515,ID,11,2015,3.8
12516,ID,11,2016,3.4
12517,ID,11,2017,3.0
12518,ID,11,2018,2.8
12519,ID,11,2019,2.7
12520,ID,11,2020,3.9
12521,ID,11,2021,3.2
12537,ID,13,2015,3.3
12538,ID,13,2016,3.0
12539,ID,13,2017,2.6
12540,ID,13,2018,2.4
12541,ID,13,2019,2.7
12542,ID,13,2020,7.9
12543,ID,13,2021,3.6
12559,ID,15,2015,5.9
12560,ID,15,2016,5.1
12561,ID,15,2017,4.8
12562,ID,15,2018,4.3
12563,ID,15,2019,4.4
12564,ID,15,2020,8.1
12565,ID,15,2021,5.4
12581,ID,17,2015,5.5
12582,ID,17,2016,5.3
12583,ID,17,2017,4.5
12584,ID,17,2018,4.2
12585,ID,17,2019,4.3
12586,ID,17,2020,7.7
12587,ID,17,2021,4.8
12603,ID,19,2015,3.2
12604,ID,19,2016,3.1
12605,ID,19,2017,2.7
12606,ID,19,2018,2.5
12607,ID,19,2019,2.4
12608,ID,19,2020,4.1
12609,ID,19,2021,2.9
12625,ID,21,2015,5.1
12626,ID,21,2016,5.0
12627,ID,21,2017,4.8
12628,ID,21,2018,4.5
12629,ID,21,2019,4.6
12630,ID,21,2020,6.4
12631,ID,21,2021,4.4
12647,ID,23,2015,4.2
12648,ID,23,2016,4.0
12649,ID,23,2017,3.0
12650,ID,23,2018,3.3
12651,ID,23,2019,2.7
12652,ID,23,2020,3.7
12653,ID,23,2021,3.8
12669,ID,25,2015,3.2
12670,ID,25,2016,3.5
12671,ID,25,2017,2.8
12672,ID,25,2018,2.3
12673,ID,25,2019,2.9
12674,ID,25,2020,4.9
12675,ID,25,2021,3.4
12691,ID,27,2015,4.6
12692,ID,27,2016,4.2
12693,ID,27,2017,3.6
12694,ID,27,2018,3.2
12695,ID,27,2019,3.3
12696,ID,27,2020,6.0
12697,ID,27,2021,4.0
12713,ID,29,2015,3.8
12714,ID,29,2016,3.5
12715,ID,29,2017,3.1
12716,ID,29,2018,2.8
12717,ID,29,2019,2.7
12718,ID,29,2020,3.7
12719,ID,29,2021,3.1
12735,ID,31,2015,3.1
12736,ID,31,2016,2.9
12737,ID,31,2017,2.5
12738,ID,31,2018,2.3
12739,ID,31,2019,2.5
12740,ID,31,2020,3.7
12741,ID,31,2021,2.9
12757,ID,33,2015,3.5
12758,ID,33,2016,3.1
12759,ID,33,2017,3.0
12760,ID,33,2018,3.1
12761,ID,33,2019,3.9
12762,ID,33,2020,4.0
12763,ID,33,2021,3.2
12779,ID,35,2015,7.5
12780,ID,35,2016,7.1
12781,ID,35,2017,7.0
12782,ID,35,2018,6.9
12783,ID,35,2019,6.8
12784,ID,35,2020,8.4
12785,ID,35,2021,6.5
12801,ID,37,2015,6.2
12802,ID,37,2016,4.9
12803,ID,37,2017,4.3
12804,ID,37,2018,4.1
12805,ID,37,2019,4.2
12806,ID,37,2020,5.1
12807,ID,37,2021,4.7
12823,ID,39,2015,4.4
12824,ID,39,2016,4.0
12825,ID,39,2017,3.7
12826,ID,39,2018,3.3
12827,ID,39,2019,3.3
12828,ID,39,2020,4.9
12829,ID,39,2021,3.7
12845,ID,41,2015,2.9
12846,ID,41,2016,3.0
12847,ID,41,2017,2.3
12848,ID,41,2018,2.2
12849,ID,41,2019,2.4
12850,ID,41,2020,3.6
12851,ID,41,2021,2.5
12867,ID,43,2015,3.4
12868,ID,43,2016,3.3
12869,ID,43,2017,2.7
12870,ID,43,2018,2.5
12871,ID,43,2019,2.4
12872,ID,43,2020,3.7
12873,ID,43,2021,2.9
12889,ID,45,2015,4.9
12890,ID,45,2016,4.5
12891,ID,45,2017,4.0
12892,ID,45,2018,3.5
12893,ID,45,2019,3.4
12894,ID,45,2020,6.0
12895,ID,45,2021,4.1
12911,ID,47,2015,3.2
12912,ID,47,2016,3.0
12913,ID,47,2017,2.5
12914,ID,47,2018,2.4
12915,ID,47,2019,2.7
12916,ID,47,2020,3.9
12917,ID,47,2021,3.1
12933,ID,49,2015,5.8
12934,ID,49,2016,5.5
12935,ID,49,2017,5.0
12936,ID,49,2018,4.7
12937,ID,49,2019,4.6
12938,ID,49,2020,6.8
12939,ID,49,2021,4.9
12955,ID,51,2015,3.2
12956,ID,51,2016,3.0
12957,ID,51,2017,2.6
12958,ID,51,2018,2.3
12959,ID,51,2019,2.4
12960,ID,51,2020,3.5
12961,ID,51,2021,2.7
12977,ID,53,2015,3.1
12978,ID,53,2016,3.1
12979,ID,53,2017,2.8
12980,ID,53,2018,2.6
12981,ID,53,2019,2.6
12982,ID,53,2020,4.1
12983,ID,53,2021,3.3
12999,ID,55,2015,4.7
13000,ID,55,2016,4.5
13001,ID,55,2017,3.9
13002,ID,55,2018,3.5
13003,ID,55,2019,3.6
13004,ID,55,2020,7.1
13005,ID,55,2021,4.3
13021,ID,57,2015,3.2
13022,ID,57,2016,3.1
13023,ID,57,2017,2.7
13024,ID,57,2018,2.5
13025,ID,57,2019,2.7
13026,ID,57,2020,4.9
13027,ID,57,2021,3.3
13043,ID,59,2015,6.5
13044,ID,59,2016,5.9
13045,ID,59,2017,5.2
13046,ID,59,2018,4.5
13047,ID,59,2019,4.8
13048,ID,59,2020,6.8
13049,ID,59,2021,5.3
13065,ID,61,2015,5.3
13066,ID,61,2016,6.2
13067,ID,61,2017,5.8
13068,ID,61,2018,5.6
13069,ID,61,2019,5.6
13070,ID,61,2020,7.9
13071,ID,61,2021,5.7
13087,ID,63,2015,4.2
13088,ID,63,2016,4.3
13089,ID,63,2017,3.2
13090,ID,63,2018,3.5
13091,ID,63,2019,3.6
13092,ID,63,2020,6.1
13093,ID,63,2021,4.4
13109,ID,65,2015,2.5
13110,ID,65,2016,2.3
13111,ID,65,2017,1.9
13112,ID,65,2018,1.7
13113,ID,65,2019,1.9
13114,ID,65,2020,2.8
13115,ID,65,2021,2.2
13131,ID,67,2015,3.4
13132,ID,67,2016,3.1
13133,ID,67,2017,2.7
13134,ID,67,2018,2.5
13135,ID,67,2019,2.6
13136,ID,67,2020,3.9
13137,ID,67,2021,3.1
13153,ID,69,2015,3.4
13154,ID,69,2016,3.2
13155,ID,69,2017,2.9
13156,ID,69,2018,2.8
13157,ID,69,2019,2.9
13158,ID,69,2020,5.0
13159,ID,69,2021,3.3
13175,ID,71,2015,3.3
13176,ID,71,2016,3.5
13177,ID,71,2017,2.9
13178,ID,71,2018,2.2
13179,ID,71,2019,2.3
13180,ID,71,2020,4.3
13181,ID,71,2021,2.5
13197,ID,73,2015,4.4
13198,ID,73,2016,4.4
13199,ID,73,2017,4.0
13200,ID,73,2018,3.7
13201,ID,73,2019,3.5
13202,ID,73,2020,6.0
13203,ID,73,2021,4.3
13219,ID,75,2015,4.6
13220,ID,75,2016,4.5
13221,ID,75,2017,4.0
13222,ID,75,2018,3.6
13223,ID,75,2019,3.6
13224,ID,75,2020,5.4
13225,ID,75,2021,4.0
13241,ID,77,2015,4.3
13242,ID,77,2016,3.9
13243,ID,77,2017,3.4
13244,ID,77,2018,2.9
13245,ID,77,2019,3.1
13246,ID,77,2020,4.1
13247,ID,77,2021,3.8
13263,ID,79,2015,7.2
13264,ID,79,2016,6.9
13265,ID,79,2017,6.3
13266,ID,79,2018,5.8
13267,ID,79,2019,6.0
13268,ID,79,2020,9.3
13269,ID,79,2021,6.6
13285,ID,81,2015,3.2
13286,ID,81,2016,3.1
13287,ID,81,2017,2.6
13288,ID,81,2018,2.3
13289,ID,81,2019,2.3
13290,ID,81,2020,5.7
13291,ID,81,2021,2.9
13307,ID,83,2015,3.4
13308,ID,83,2016,3.3
13309,ID,83,2017,3.0
13310,ID,83,2018,2.7
13311,ID,83,2019,2.8
13312,ID,83,2020,5.3
13313,ID,83,2021,3.6
13329,ID,85,2015,5.7
13330,ID,85,2016,5.2
13331,ID,85,2017,4.4
13332,ID,85,2018,3.8
13333,ID,85,2019,4.0
13334,ID,85,2020,8.1
13335,ID,85,2021,5.3
13351,ID,87,2015,5.4
13352,ID,87,2016,5.3
13353,ID,87,2017,4.7
13354,ID,87,2018,4.2
13355,ID,87,2019,4.2
13356,ID,87,2020,5.5
13357,ID,87,2021,4.4
13395,IL,1,2015,5.0
13396,IL,1,2016,4.8
13397,IL,1,2017,3.9
13398,IL,1,2018,3.8
13399,IL,1,2019,3.3
13400,IL,1,2020,6.4
13401,IL,1,2021,3.9
13417,IL,3,2015,9.2
13418,IL,3,2016,9.3
13419,IL,3,2017,8.4
13420,IL,3,2018,8.1
13421,IL,3,2019,6.1
13422,IL,3,2020,10.4
13423,IL,3,2021,8.1
13439,IL,5,2015,5.3
13440,IL,5,2016,5.1
13441,IL,5,2017,4.4
13442,IL,5,2018,4.3
13443,IL,5,2019,3.7
13444,IL,5,2020,7.0
13445,IL,5,2021,4.6
13461,IL,7,2015,6.5
13462,IL,7,2016,6.4
13463,IL,7,2017,6.7
13464,IL,7,2018,5.7
13465,IL,7,2019,5.4
13466,IL,7,2020,11.4
13467,IL,7,2021,8.5
13483,IL,9,2015,3.6
13484,IL,9,2016,3.4
13485,IL,9,2017,2.9
13486,IL,9,2018,2.6
13487,IL,9,2019,2.4
13488,IL,9,2020,3.9
13489,IL,9,2021,2.5
13505,IL,11,2015,6.4
13506,IL,11,2016,6.1
13507,IL,11,2017,4.9
13508,IL,11,2018,4.9
13509,IL,11,2019,4.5
13510,IL,11,2020,7.7
13511,IL,11,2021,5.0
13527,IL,13,2015,6.7
13528,IL,13,2016,6.1
13529,IL,13,2017,5.4
13530,IL,13,2018,5.1
13531,IL,13,2019,4.4
13532,IL,13,2020,7.9
13533,IL,13,2021,4.8
13549,IL,15,2015,5.5
13550,IL,15,2016,5.7
13551,IL,15,2017,4.6
13552,IL,15,2018,4.4
13553,IL,15,2019,3.9
13554,IL,15,2020,7.3
13555,IL,15,2021,4.2
13571,IL,17,2015,5.7
13572,IL,17,2016,5.6
13573,IL,17,2017,4.5
13574,IL,17,2018,4.5
13575,IL,17,2019,3.9
13576,IL,17,2020,6.8
13577,IL,17,2021,4.9
13593,IL,19,2015,5.1
13594,IL,19,2016,5.0
13595,IL,19,2017,4.3
13596,IL,19,2018,4.3
13597,IL,19,2019,3.6
13598,IL,19,2020,6.6
13599,IL,19,2021,4.8
13615,IL,21,2015,6.6
13616,IL,21,2016,6.4
13617,IL,21,2017,5.3
13618,IL,21,2018,5.2
13619,IL,21,2019,4.6
13620,IL,21,2020,8.3
13621,IL,21,2021,5.4
13637,IL,23,2015,6.2
13638,IL,23,2016,5.8
13639,IL,23,2017,5.0
13640,IL,23,2018,5.3
13641,IL,23,2019,4.5
13642,IL,23,2020,8.0
13643,IL,23,2021,5.0
13659,IL,25,2015,7.1
13660,IL,25,2016,6.8
13661,IL,25,2017,5.3
13662,IL,25,2018,5.2
13663,IL,25,2019,4.3
13664,IL,25,2020,9.6
13665,IL,25,2021,5.5
13681,IL,27,2015,4.5
13682,IL,27,2016,4.5
13683,IL,27,2017,3.5
13684,IL,27,2018,3.5
13685,IL,27,2019,3.0
13686,IL,27,2020,5.9
13687,IL,27,2021,3.4
13703,IL,29,2015,6.1
13704,IL,29,2016,5.9
13705,IL,29,2017,4.7
13706,IL,29,2018,4.7
13707,IL,29,2019,3.8
13708,IL,29,2020,7.6
13709,IL,29,2021,5.1
13725,IL,31,2015,6.3
13726,IL,31,2016,6.2
13727,IL,31,2017,5.1
13728,IL,31,2018,4.2
13729,IL,31,2019,3.9
13730,IL,31,2020,10.4
13731,IL,31,2021,7.0
13747,IL,33,2015,5.9
13748,IL,33,2016,6.3
13749,IL,33,2017,5.2
13750,IL,33,2018,5.4
13751,IL,33,2019,4.1
13752,IL,33,2020,7.1
13753,IL,33,2021,5.0
13769,IL,35,2015,5.3
13770,IL,35,2016,5.2
13771,IL,35,2017,4.0
13772,IL,35,2018,4.0
13773,IL,35,2019,3.3
13774,IL,35,2020,5.8
13775,IL,35,2021,4.2
13791,IL,37,2015,5.6
13792,IL,37,2016,5.3
13793,IL,37,2017,4.6
13794,IL,37,2018,4.4
13795,IL,37,2019,3.9
13796,IL,37,2020,8.3
13797,IL,37,2021,5.6
13813,IL,39,2015,5.6
13814,IL,39,2016,5.7
13815,IL,39,2017,4.7
13816,IL,39,2018,5.0
13817,IL,39,2019,4.2
13818,IL,39,2020,6.7
13819,IL,39,2021,4.9
13835,IL,41,2015,4.9
13836,IL,41,2016,4.7
13837,IL,41,2017,4.1
13838,IL,41,2018,4.0
13839,IL,41,2019,3.4
13840,IL,41,2020,5.8
13841,IL,41,2021,3.7
13857,IL,43,2015,4.8
13858,IL,43,2016,4.8
13859,IL,43,2017,4.0
13860,IL,43,2018,3.2
13861,IL,43,2019,3.0
13862,IL,43,2020,7.5
13863,IL,43,2021,4.5
13879,IL,45,2015,6.3
13880,IL,45,2016,6.0
13881,IL,45,2017,4.9
13882,IL,45,2018,4.7
13883,IL,45,2019,4.1
13884,IL,45,2020,6.7
13885,IL,45,2021,4.0
13901,IL,47,2015,6.0
13902,IL,47,2016,5.8
13903,IL,47,2017,4.7
13904,IL,47,2018,4.6
13905,IL,47,2019,4.1
13906,IL,47,2020,8.5
13907,IL,47,2021,5.1
13923,IL,49,2015,4.8
13924,IL,49,2016,4.8
13925,IL,49,2017,3.8
13926,IL,49,2018,3.7
13927,IL,49,2019,3.1
13928,IL,49,2020,6.8
13929,IL,49,2021,3.9
13945,IL,51,2015,6.6
13946,IL,51,2016,6.5
13947,IL,51,2017,5.5
13948,IL,51,2018,5.2
13949,IL,51,2019,4.2
13950,IL,51,2020,7.6
13951,IL,51,2021,5.1
13967,IL,53,2015,5.3
13968,IL,53,2016,5.4
13969,IL,53,2017,4.8
13970,IL,53,2018,4.6
13971,IL,53,2019,4.1
13972,IL,53,2020,6.7
13973,IL,53,2021,4.4
13989,IL,55,2015,8.1
13990,IL,55,2016,8.1
13991,IL,55,2017,6.5
13992,IL,55,2018,6.1
13993,IL,55,2019,5.2
13994,IL,55,2020,10.7
13995,IL,55,2021,6.6
14011,IL,57,2015,7.6
14012,IL,57,2016,7.4
14013,IL,57,2017,6.4
14014,IL,57,2018,6.1
14015,IL,57,2019,5.3
14016,IL,57,2020,8.7
14017,IL,57,2021,5.7
14033,IL,59,2015,6.7
14034,IL,59,2016,7.6
14035,IL,59,2017,5.9
14036,IL,59,2018,5.9
14037,IL,59,2019,4.8
14038,IL,59,2020,9.5
14039,IL,59,2021,6.1
14055,IL,61,2015,6.1
14056,IL,61,2016,5.8
14057,IL,61,2017,5.1
14058,IL,61,2018,4.8
14059,IL,61,2019,4.1
14060,IL,61,2020,6.6
14061,IL,61,2021,4.6
14077,IL,63,2015,7.0
14078,IL,63,2016,6.9
14079,IL,63,2017,5.8
14080,IL,63,2018,4.8
14081,IL,63,2019,4.6
14082,IL,63,2020,8.5
14083,IL,63,2021,5.3
14099,IL,65,2015,5.5
14100,IL,65,2016,6.2
14101,IL,65,2017,4.5
14102,IL,65,2018,4.4
14103,IL,65,2019,3.7
14104,IL,65,2020,6.7
14105,IL,65,2021,4.3
14121,IL,67,2015,6.2
14122,IL,67,2016,6.5
14123,IL,67,2017,5.1
14124,IL,67,2018,4.6
14125,IL,67,2019,4.5
14126,IL,67,2020,7.0
14127,IL,67,2021,4.3
14143,IL,69,2015,8.5
14144,IL,69,2016,9.4
14145,IL,69,2017,7.6
14146,IL,69,2018,7.4
14147,IL,69,2019,6.2
14148,IL,69,2020,9.5
14149,IL,69,2021,6.7
14165,IL,71,2015,6.0
14166,IL,71,2016,6.1
14167,IL,71,2017,5.1
14168,IL,71,2018,4.8
14169,IL,71,2019,4.5
14170,IL,71,2020,7.1
14171,IL,71,2021,4.0
14187,IL,73,2015,6.1
14188,IL,73,2016,6.0
14189,IL,73,2017,5.1
14190,IL,73,2018,5.0
14191,IL,73,2019,4.6
14192,IL,73,2020,8.0
14193,IL,73,2021,4.9
14209,IL,75,2015,5.7
14210,IL,75,2016,5.5
14211,IL,75,2017,4.6
14212,IL,75,2018,4.4
14213,IL,75,2019,4.0
14214,IL,75,2020,6.3
14215,IL,75,2021,4.7
14231,IL,77,2015,5.6
14232,IL,77,2016,5.4
14233,IL,77,2017,4.5
14234,IL,77,2018,4.5
14235,IL,77,2019,3.6
14236,IL,77,2020,7.9
14237,IL,77,2021,5.4
14253,IL,79,2015,6.2
14254,IL,79,2016,6.3
14255,IL,79,2017,5.0
14256,IL,79,2018,5.0
14257,IL,79,2019,4.1
14258,IL,79,2020,6.2
