,STATE,CountyNo,year,Unemployment
677,AL,57,2017,4.8
678,AL,57,2018,4.0
679,AL,57,2019,3.3
680,AL,57,2020,5.6
681,AL,57,2021,3.1
697,AL,59,2015,6.5
698,AL,59,2016,5.9
699,AL,59,2017,4.4
700,AL,59,2018,3.7
701,AL,59,2019,2.9
702,AL,59,2020,5.0
703,AL,59,2021,2.5
719,AL,61,2015,6.0
720,AL,61,2016,5.8
721,AL,61,2017,4.4
722,AL,61,2018,3.9
723,AL,61,2019,3.1
724,AL,61,2020,4.6
725,AL,61,2021,2.8
741,AL,63,2015,11.1
742,AL,63,2016,10.0
743,AL,63,2017,7.7
744,AL,63,2018,6.6
745,AL,63,2019,5.9
746,AL,63,2020,11.8
747,AL,63,2021,6.9
763,AL,65,2015,7.8
764,AL,65,2016,7.7
765,AL,65,2017,6.1
766,AL,65,2018,5.0
767,AL,65,2019,4.1
768,AL,65,2020,10.3
769,AL,65,2021,5.7
785,AL,67,2015,6.8
786,AL,67,2016,6.5
787,AL,67,2017,5.0
788,AL,67,2018,4.4
789,AL,67,2019,3.8
790,AL,67,2020,5.4
791,AL,67,2021,3.2
807,AL,69,2015,6.3
808,AL,69,2016,5.8
809,AL,69,2017,4.5
810,AL,69,2018,4.0
811,AL,69,2019,3.2
812,AL,69,2020,6.0
813,AL,69,2021,3.4
829,AL,71,2015,6.7
830,AL,71,2016,6.3
831,AL,71,2017,4.9
832,AL,71,2018,4.1
833,AL,71,2019,3.5
834,AL,71,2020,5.9
835,AL,71,2021,2.9
851,AL,73,2015,5.8
852,AL,73,2016,5.7
853,AL,73,2017,4.4
854,AL,73,2018,3.7
855,AL,73,2019,3.0
856,AL,73,2020,6.9
857,AL,73,2021,3.6
873,AL,75,2015,6.4
874,AL,75,2016,5.7
875,AL,75,2017,4.3
876,AL,75,2018,3.8
877,AL,75,2019,3.2
878,AL,75,2020,5.4
879,AL,75,2021,3.0
895,AL,77,2015,7.0
896,AL,77,2016,6.4
897,AL,77,2017,4.7
898,AL,77,2018,4.2
899,AL,77,2019,3.5
900,AL,77,2020,6.2
901,AL,77,2021,3.2
917,AL,79,2015,7.8
918,AL,79,2016,6.9
919,AL,79,2017,5.0
920,AL,79,2018,4.1
921,AL,79,2019,3.3
922,AL,79,2020,5.5
923,AL,79,2021,2.9
939,AL,81,2015,5.3
940,AL,81,2016,5.2
941,AL,81,2017,4.1
942,AL,81,2018,3.6
943,AL,81,2019,2.9
944,AL,81,2020,5.8
945,AL,81,2021,2.8
961,AL,83,2015,5.5
962,AL,83,2016,5.3
963,AL,83,2017,4.1
964,AL,83,2018,3.5
965,AL,83,2019,2.8
966,AL,83,2020,4.7
967,AL,83,2021,2.5
983,AL,85,2015,11.6
984,AL,85,2016,10.6
985,AL,85,2017,8.4
986,AL,85,2018,7.3
987,AL,85,2019,6.0
988,AL,85,2020,14.5
989,AL,85,2021,9.2
1005,AL,87,2015,8.1
1006,AL,87,2016,7.6
1007,AL,87,2017,5.9
1008,AL,87,2018,5.4
1009,AL,87,2019,4.4
1010,AL,87,2020,10.5
1011,AL,87,2021,6.0
1027,AL,89,2015,5.5
1028,AL,89,2016,5.1
1029,AL,89,2017,4.0
1030,AL,89,2018,3.4
1031,AL,89,2019,2.7
1032,AL,89,2020,5.1
1033,AL,89,2021,2.7
1049,AL,91,2015,7.7
1050,AL,91,2016,7.2
1051,AL,91,2017,5.7
1052,AL,91,2018,4.9
1053,AL,91,2019,3.7
1054,AL,91,2020,6.9
1055,AL,91,2021,4.2
1071,AL,93,2015,7.0
1072,AL,93,2016,6.6
1073,AL,93,2017,4.9
1074,AL,93,2018,4.0
1075,AL,93,2019,3.7
1076,AL,93,2020,5.6
1077,AL,93,2021,2.8
1093,AL,95,2015,5.8
1094,AL,95,2016,5.3
1095,AL,95,2017,3.9
1096,AL,95,2018,3.4
1097,AL,95,2019,2.6
1098,AL,95,2020,4.7
1099,AL,95,2021,2.4
1115,AL,97,2015,6.9
1116,AL,97,2016,6.6
1117,AL,97,2017,5.3
1118,AL,97,2018,4.6
1119,AL,97,2019,3.9
1120,AL,97,2020,8.7
1121,AL,97,2021,4.7
1137,AL,99,2015,10.1
1138,AL,99,2016,9.1
1139,AL,99,2017,6.9
1140,AL,99,2018,6.1
1141,AL,99,2019,5.1
1142,AL,99,2020,9.0
1143,AL,99,2021,5.6
1159,AL,101,2015,6.1
1160,AL,101,2016,5.7
1161,AL,101,2017,4.4
1162,AL,101,2018,4.0
1163,AL,101,2019,3.2
1164,AL,101,2020,8.6
1165,AL,101,2021,4.9
1181,AL,103,2015,5.9
1182,AL,103,2016,5.5
1183,AL,103,2017,4.2
1184,AL,103,2018,3.5
1185,AL,103,2019,2.7
1186,AL,103,2020,5.0
1187,AL,103,2021,2.6
1203,AL,105,2015,10.0
1204,AL,105,2016,10.3
1205,AL,105,2017,8.0
1206,AL,105,2018,6.5
1207,AL,105,2019,5.5
1208,AL,105,2020,12.0
1209,AL,105,2021,8.3
1225,AL,107,2015,6.8
1226,AL,107,2016,6.9
1227,AL,107,2017,5.5
1228,AL,107,2018,4.6
1229,AL,107,2019,3.7
1230,AL,107,2020,7.3
1231,AL,107,2021,4.1
1247,AL,109,2015,6.6
1248,AL,109,2016,6.5
1249,AL,109,2017,5.0
1250,AL,109,2018,4.5
1251,AL,109,2019,3.4
1252,AL,109,2020,5.5
1253,AL,109,2021,3.2
1269,AL,111,2015,5.9
1270,AL,111,2016,5.6
1271,AL,111,2017,4.5
1272,AL,111,2018,4.0
1273,AL,111,2019,3.2
1274,AL,111,2020,5.3
1275,AL,111,2021,2.7
1291,AL,113,2015,6.0
1292,AL,113,2016,5.6
1293,AL,113,2017,4.4
1294,AL,113,2018,4.0
1295,AL,113,2019,3.1
1296,AL,113,2020,5.8
1297,AL,113,2021,3.1
1313,AL,115,2015,5.2
1314,AL,115,2016,5.2
1315,AL,115,2017,4.1
1316,AL,115,2018,3.5
1317,AL,115,2019,2.8
1318,AL,115,2020,5.4
1319,AL,115,2021,2.6
1335,AL,117,2015,4.2
1336,AL,117,2016,4.3
1337,AL,117,2017,3.3
1338,AL,117,2018,2.8
1339,AL,117,2019,2.3
1340,AL,117,2020,4.2
1341,AL,117,2021,2.1
1357,AL,119,2015,8.0
1358,AL,119,2016,7.7
1359,AL,119,2017,6.7
1360,AL,119,2018,5.8
1361,AL,119,2019,4.8
1362,AL,119,2020,7.7
1363,AL,119,2021,4.5
1379,AL,121,2015,6.6
1380,AL,121,2016,6.6
1381,AL,121,2017,5.1
1382,AL,121,2018,4.2
1383,AL,121,2019,3.6
1384,AL,121,2020,7.8
1385,AL,121,2021,4.1
1401,AL,123,2015,6.1
1402,AL,123,2016,5.6
1403,AL,123,2017,4.3
1404,AL,123,2018,4.1
1405,AL,123,2019,3.2
1406,AL,123,2020,7.6
1407,AL,123,2021,4.0
1423,AL,125,2015,5.5
1424,AL,125,2016,5.7
1425,AL,125,2017,4.3
1426,AL,125,2018,3.6
1427,AL,125,2019,2.8
1428,AL,125,2020,7.3
1429,AL,125,2021,3.6
1445,AL,127,2015,7.3
1446,AL,127,2016,7.5
1447,AL,127,2017,5.2
1448,AL,127,2018,4.2
1449,AL,127,2019,3.5
1450,AL,127,2020,6.5
1451,AL,127,2021,3.6
1467,AL,129,2015,9.0
1468,AL,129,2016,8.6
1469,AL,129,2017,6.9
1470,AL,129,2018,5.8
1471,AL,129,2019,4.9
1472,AL,129,2020,8.9
1473,AL,129,2021,4.7
1489,AL,131,2015,14.7
1490,AL,131,2016,14.5
1491,AL,131,2017,11.7
1492,AL,131,2018,9.4
1493,AL,131,2019,7.5
1494,AL,131,2020,16.2
1495,AL,131,2021,11.0
1511,AL,133,2015,7.6
1512,AL,133,2016,7.1
1513,AL,133,2017,5.1
1514,AL,133,2018,4.2
1515,AL,133,2019,3.5
1516,AL,133,2020,5.2
1517,AL,133,2021,2.8
1555,AK,13,2015,3.1
1556,AK,13,2016,2.5
1557,AK,13,2017,2.3
1558,AK,13,2018,2.8
1559,AK,13,2019,2.3
1560,AK,13,2020,4.1
1561,AK,13,2021,2.3
1577,AK,16,2015,3.7
1578,AK,16,2016,3.2
1579,AK,16,2017,3.4
1580,AK,16,2018,3.2
1581,AK,16,2019,3.1
1582,AK,16,2020,4.7
1583,AK,16,2021,3.6
1599,AK,20,2015,4.9
1600,AK,20,2016,5.3
1601,AK,20,2017,5.4
1602,AK,20,2018,5.0
1603,AK,20,2019,4.5
1604,AK,20,2020,7.8
1605,AK,20,2021,5.8
1621,AK,50,2015,13.9
1622,AK,50,2016,13.7
1623,AK,50,2017,12.7
1624,AK,50,2018,11.8
1625,AK,50,2019,11.7
1626,AK,50,2020,12.2
1627,AK,50,2021,13.1
1643,AK,60,2015,8.9
1644,AK,60,2016,6.8
1645,AK,60,2017,5.9
1646,AK,60,2018,5.6
1647,AK,60,2019,5.3
1648,AK,60,2020,7.9
1649,AK,60,2021,5.6
1650,AK,63,2020,8.6
1651,AK,63,2021,6.7
1652,AK,66,2020,10.6
1653,AK,66,2021,8.9
1669,AK,68,2015,8.4
1670,AK,68,2016,8.7
1671,AK,68,2017,8.5
1672,AK,68,2018,7.2
1673,AK,68,2019,7.5
1674,AK,68,2020,17.2
1675,AK,68,2021,10.1
1691,AK,70,2015,9.3
1692,AK,70,2016,9.3
1693,AK,70,2017,8.4
1694,AK,70,2018,7.4
1695,AK,70,2019,7.2
1696,AK,70,2020,8.8
1697,AK,70,2021,8.2
1713,AK,90,2015,5.3
1714,AK,90,2016,5.6
1715,AK,90,2017,5.7
1716,AK,90,2018,5.2
1717,AK,90,2019,4.8
1718,AK,90,2020,6.7
1719,AK,90,2021,5.0
1735,AK,100,2015,9.5
1736,AK,100,2016,9.8
1737,AK,100,2017,8.3
1738,AK,100,2018,8.8
1739,AK,100,2019,8.1
1740,AK,100,2020,16.4
